question,label
레몬에이드 하나 주세요,S-JUICE S-COUNT O
레몬에이드로 할게요,S-JUICE O
레몬에이드를 먹고 싶어요,S-JUICE O O
레몬에이드로 먹을게요,S-JUICE O
레몬에이드로 하나 주세요,S-JUICE S-COUNT O
시원한 레몬에이드로 할게요,S-TEMP S-JUICE O
레몬에이드를 먹고 싶어요,S-JUICE O O
레몬 에이드 먹을게요,B-JUICE E-JUICE O
레몬 에이드도 추가할게요,B-JUICE E-JUICE O
레몬 에이드 주세요,B-JUICE E-JUICE O
레몬 에이드 하나 주세요,B-JUICE E-JUICE S-COUNT O
레몬 에이드로 할게요,B-JUICE E-JUICE O
레몬 에이드를 먹고 싶어요,B-JUICE E-JUICE O O
레몬 에이드 먹을게요,B-JUICE E-JUICE O
레몬 에이드도 추가할게요,B-JUICE E-JUICE O
레몬 에이드 작은 사이즈 주세요,B-JUICE E-JUICE B-SIZE E-SIZE O
레몬 에이드로 하나 주세요,B-JUICE E-JUICE S-COUNT O
레몬 에이드로 할게요,B-JUICE E-JUICE O
자몽 에이드를 먹고 싶어요,B-JUICE E-JUICE O O
자몽 에이드 작은 사이즈 먹을게요,B-JUICE E-JUICE B-SIZE E-SIZE O
자몽 에이드 하나 주세요,B-JUICE E-JUICE S-COUNT O
자몽 에이드로 할게요,B-JUICE E-JUICE O
자몽 에이드를 먹고 싶어요,B-JUICE E-JUICE O O
자몽 에이드 먹을게요,B-JUICE E-JUICE O
자몽 에이드도 추가할게요,B-JUICE E-JUICE O
자몽 에이드 주세요,B-JUICE E-JUICE O
자몽에이드 하나 주세요,S-JUICE S-COUNT O
자몽에이드로 할게요,S-JUICE O
자몽에이드를 먹고 싶어요,S-JUICE O O
자몽에이드 먹을게요,S-JUICE O
자몽에이드도 추가할게요,S-JUICE O
자몽에이드 주세요,S-JUICE O
자몽에이드 하나 주세요,S-JUICE S-COUNT O
자몽에이드로 할게요,S-JUICE O
자몽에이드를 먹고 싶어요,S-JUICE O O
자몽에이드 먹을게요,S-JUICE O
자몽에이드로 하나 주세요,S-JUICE S-COUNT O
자몽에이드도 추가할게요,S-JUICE O
자몽에이드 주세요,S-JUICE O
자몽에이드 하나 주세요,S-JUICE S-COUNT O
마카롱으로 할게요,S-BAKE O
마카롱을 먹고 싶어요,S-BAKE O O
마카롱으로 먹을게요,S-BAKE O
마카롱으로 하나 주세요,S-BAKE S-COUNT O
마카롱도 추가할게요,S-BAKE O
마카롱도 주세요,S-BAKE O
마카롱도 한개 주세요,S-BAKE S-COUNT O
그럼 마카롱으로 할게요,O S-BAKE O
마카롱을 먹고 싶어요,S-BAKE O O
마카롱으로 먹을게요,S-BAKE O
마카롱으로 하나 주세요,S-BAKE S-COUNT O
마카롱도 한개만 추가할게요,S-BAKE S-COUNT O
케이크로 두조각 주세요,S-BAKE S-COUNT O
케이크로 한개 주세요,S-BAKE S-COUNT O
케이크로 할게요,S-BAKE O
케이크를 먹고 싶어요,S-BAKE O O
케이크로 먹을게요,S-BAKE O
케이크로 하나 주세요,S-BAKE S-COUNT O
케이크도 추가할게요,S-BAKE O
케이크를 2조각 주세요,S-BAKE S-COUNT O
케이크도 하나 주세요,S-BAKE S-COUNT O
케이크로 할게요,S-BAKE O
케이크를 먹고 싶어요,S-BAKE O O
케이크도 2조각 먹을게요,S-BAKE S-COUNT O
케이크 하나 주세요,S-BAKE S-COUNT O
케이크 추가할게요,S-BAKE O
케이크 주세요,S-BAKE O
케이크 하나 주세요,S-BAKE S-COUNT O
케이크 한개 살게요,S-BAKE S-COUNT O
케이크 먹고 싶어요,S-BAKE O O
케이크 먹을게요,S-BAKE O
케이크 하나 주세요,S-BAKE S-COUNT O
케이크 하나 추가할게요,S-BAKE S-COUNT O
케이크 주세요,S-BAKE O
티라미슈 하나 주세요,S-BAKE S-COUNT O
티라미슈로 할게요,S-BAKE O
티라미슈를 먹고 싶어요,S-BAKE O O
티라미슈로 먹을게요,S-BAKE O
티라미슈로 하나 주세요,S-BAKE S-COUNT O
티라미슈도 추가할게요,S-BAKE O
티라미슈도 주세요,S-BAKE O
티라미슈 하나 주세요,S-BAKE S-COUNT O
티라미슈로 할게요,S-BAKE O
티라미슈를 먹고 싶어요,S-BAKE O O
티라미슈도 먹을게요,S-BAKE O
티라미슈로 하나 주세요,S-BAKE S-COUNT O
티라미슈도 추가할게요,S-BAKE O
티라미슈로 주세요,S-BAKE O
티라미슈로 하나 주세요,S-BAKE S-COUNT O
쿠키로 할게요,S-BAKE O
쿠키를 먹고 싶어요,S-BAKE O O
쿠키 먹을게요,S-BAKE O
쿠키로 하나 주세요,S-BAKE S-COUNT O
쿠키도 추가할게요,S-BAKE O
쿠키 주세요,S-BAKE O
쿠키 하나 주세요,S-BAKE S-COUNT O
쿠키로 할게요,S-BAKE O
쿠키를 먹고 싶어요,S-BAKE O O
쿠키 먹을게요,S-BAKE O
쿠키로 하나 주세요,S-BAKE S-COUNT O
쿠키도 추가할게요,S-BAKE O
쿠키로 주세요,S-BAKE O
쿠키로 하나 주세요,S-BAKE S-COUNT O
쿠키로 할게요,S-BAKE O
쿠키를 먹고 싶어요,S-BAKE O O
쿠키 먹을게요,S-BAKE O
쿠키로 하나 주세요,S-BAKE S-COUNT O
쿠키 하나 주시겠어요,S-BAKE S-COUNT O
쿠키 먹고 싶어요,S-BAKE O O
쿠키가 좋겠네요,S-BAKE O
쿠키가 낫겠네요,S-BAKE O
쿠키가 낫겠어요,S-BAKE O
쿠키로 할게요,S-BAKE O
머핀으로 할게요,S-BAKE O
머핀 한개 주세요,S-BAKE S-COUNT O
머핀 주세요,S-BAKE O
머핀 하나 먹을게요,S-BAKE S-COUNT O
머핀 하나 주시겠어요,S-BAKE S-COUNT O
머핀으로 하나 주세요,S-BAKE S-COUNT O
머핀 한개 부탁합니다,S-BAKE S-COUNT O
머핀을 먹을래요,S-BAKE O
머핀으로 하겠습니다,S-BAKE O
머핀 한개 주실래요,S-BAKE S-COUNT O
머핀으로 세개 부탁드려요,S-BAKE S-COUNT O
머핀으로 두개 가능할까요,S-BAKE S-COUNT O
머핀 1개만 주세요,S-BAKE S-COUNT O
그렇게까지 기다릴 수가 없어서 주문취소할게요 주문취소 가능한가요,O O O O O O O
주문 취소할 수 있어요,O O O O
주문 취소할게요,O O
케이크 주문 하나 취소할게요,S-BAKE O S-COUNT O
아메리카노 한 잔은 취소해주세요,S-COFFEE B-COUNT E-COUNT O
급한 일이 생겨서 주문 취소해주세요,O O O O O
혹시 주문 취소할 수 있을까요,O O O O O
지금 주문 안 들어갔으면 취소하겠습니다,O O O O O
방금 주문한 거 취소 가능할까요,O O O O O
주문했던 거 취소 부탁합니다,O O O O
주문취소할게요 주문취소 가능한가요,O O O
주문 취소할 수 있을까요,O O O O
지금 주문 취소할게요,O O O
주문 하나 취소할게요,O S-COUNT O
주문은 취소해주세요,O O
급한 일이 생겨서 주문 취소해주세요,O O O O O
혹시 주문 취소 좀 할 수 있을까,O O O O O O O
주문 안 들어갔으면 취소할게,O O O O
주문한거 취소 해주세요,O O O
주문했던 거 취소 부탁해요,O O O O
주문 취소 좀 하겠습니다,O O O O
주문한거 취소할래요,O O
주문 취소 할게요,O O O
주문 취소 하겠습니다,O O O
주문 취소좀요,O O
주문 취소요,O O
주문한거 취소할게요,O O
주문 취소 좀 하겠습니다,O O O O
주문한거 취소할래요,O O
주문 취소 할게요,O O O
주문 취소 하겠습니다,O O O
주문 취소좀요,O O
주문 취소요,O O
주문한거 취소할게요,O O
주문 취소 부탁드립니다,O O O
주문한거 취소 부탁드려요,O O O
주문했던거 취소 부탁해요,O O O
주문취소 가능한가요,O O
주문 취소 가능하실까요,O O O
아 주문 취소하겠습니다,O O O
죄송한데 주문 취소 될까요,O O O O
아메리카노 한 잔은 취소해주세요,S-COFFEE B-COUNT E-COUNT O
급한 일이 생겨서 주문 취소해주세요,O O O O O
혹시 주문 취소할 수 있을까요,O O O O O
지금 주문 안 들어갔으면 취소하겠습니다,O O O O O
방금 주문한 거 취소 가능할까요,O O O O O
주문했던 거 취소 부탁합니다,O O O O
주문취소할게요 주문취소 가능한가요,O O O
주문 취소할 수 있을까요,O O O O
지금 주문 취소할게요,O O O
주문 하나 취소할게요,O S-COUNT O
그렇게까지 기다릴 수가 없어서 주문취소할게요 주문취소 가능한가요,O O O O O O O
주문 취소할 수 있어요,O O O O
주문 취소할게요,O O
케이크 주문 하나 취소할게요,S-BAKE O S-COUNT O
아메리카노 한 잔은 취소해주세요,S-COFFEE B-COUNT E-COUNT O
급한 일이 생겨서 주문 취소해주세요,O O O O O
혹시 주문 취소할 수 있을까요,O O O O O
지금 주문 안 들어갔으면 취소하겠습니다,O O O O O
방금 주문한 거 취소 가능할까요,O O O O O
주문했던 거 취소 부탁합니다,O O O O
주문취소할게요 주문취소 가능한가요,O O O
주문 취소할 수 있을까요,O O O O
지금 주문 취소할게요,O O O
주문 하나 취소할게요,O S-COUNT O
주문은 취소해주세요,O O
급한 일이 생겨서 주문 취소해주세요,O O O O O
혹시 주문 취소 좀 할 수 있을까,O O O O O O O
주문 안 들어갔으면 취소할게,O O O O
주문한거 취소 해주세요,O O O
주문했던 거 취소 부탁해요,O O O O
주문 취소 좀 하겠습니다,O O O O
주문한거 취소할래요,O O
주문 취소 할게요,O O O
주문 취소 하겠습니다,O O O
주문 취소좀요,O O
주문 취소요,O O
주문한거 취소할게요,O O
주문 취소 좀 하겠습니다,O O O O
주문한거 취소할래요,O O
주문 취소 할게요,O O O
주문 취소 하겠습니다,O O O
주문 취소좀요,O O
주문 취소요,O O
주문한거 취소할게요,O O
주문 취소 부탁드립니다,O O O
주문한거 취소 부탁드려요,O O O
주문했던거 취소 부탁해요,O O O
주문취소 가능한가요,O O
주문 취소 가능하실까요,O O O
아 주문 취소하겠습니다,O O O
죄송한데 주문 취소 될까요,O O O O
아메리카노 한 잔은 취소해주세요,S-COFFEE B-COUNT E-COUNT O
급한 일이 생겨서 주문 취소해주세요,O O O O O
혹시 주문 취소할 수 있을까요,O O O O O
지금 주문 안 들어갔으면 취소하겠습니다,O O O O O
방금 주문한 거 취소 가능할까요,O O O O O
주문했던 거 취소 부탁합니다,O O O O
주문취소할게요 주문취소 가능한가요,O O O
주문 취소할 수 있을까요,O O O O
지금 주문 취소할게요,O O O
주문 하나 취소할게요,O S-COUNT O
주문 취소요,O O
혹시 주문 취소할 수 있을까요,O O O O O
지금 주문 안 들어갔으면 취소하겠습니다,O O O O O
방금 주문한 거 취소 가능할까요,O O O O O
주문했던 거 취소 부탁합니다,O O O O
주문취소할게요 주문취소 가능한가요,O O O
주문 취소할 수 있을까요,O O O O
지금 주문 취소할게요,O O O
주문 하나 취소할게요,O S-COUNT O
지금 바빠서 주문취소 해주세요,O O O O
주문취소 부탁드려요,O O
그럼 주문취소좀요,O O
그냥 주문취소할게,O O
주문취소 할게요,O O
네 주문취소할게요,O O
지금 바빠서 주문취소 해주세요,O O O O
주문취소 부탁드려요,O O
그럼 주문취소좀요,O O
그냥 주문취소할게,O O
주문취소 할게요,O O
네 주문취소할게요,O O
주문취소할 수 있을까요,O O O
주문취소 요청드립니다,O O
주문 취소 요청드려요,O O O
주문 좀 취소할게요,O O O
취소좀요,O
취소요,O
취소할게요,O
